Report Date,ZCTA,Number of Cases,Number of PCR Testing Encounters
6/9/2020,22733,17,67
6/9/2020,22734,23,152
6/9/2020,22735,Suppressed*,67
6/9/2020,22736,Suppressed*,22
6/9/2020,22737,7,90
6/9/2020,22738,Suppressed*,31
6/9/2020,22740,Suppressed*,40
6/9/2020,22741,0,11
6/9/2020,22742,20,96
6/9/2020,22743,0,2
6/9/2020,22747,Suppressed*,27
6/9/2020,22749,0,10
6/9/2020,22801,597,2093
6/9/2020,22802,474,1702
6/9/2020,22807,Suppressed*,6
6/9/2020,22810,Suppressed*,25
6/9/2020,22811,Suppressed*,24
6/9/2020,22812,28,338
6/9/2020,22815,78,356
6/9/2020,22820,0,2
6/9/2020,22821,21,181
6/9/2020,22824,70,103
6/9/2020,22827,68,469
6/9/2020,22830,16,65
6/9/2020,22831,Suppressed*,35
6/9/2020,22832,Suppressed*,38
6/9/2020,22834,6,48
6/9/2020,22835,148,486
6/9/2020,22840,15,150
6/9/2020,22841,16,107
6/9/2020,22842,64,163
6/9/2020,22843,6,63
6/9/2020,22844,42,176
6/9/2020,22845,0,4
6/9/2020,22846,9,76
6/9/2020,22847,Suppressed*,20
6/9/2020,22849,27,175
6/9/2020,22850,8,46
6/9/2020,22851,66,174
6/9/2020,22853,55,212
6/9/2020,22901,139,1946
6/9/2020,22902,91,1182
6/9/2020,22903,79,1769
6/9/2020,22904,0,7
6/9/2020,22911,35,833
6/9/2020,22920,5,116
6/9/2020,22922,6,85
6/9/2020,22923,12,199
6/9/2020,22931,0,12
6/9/2020,22932,21,327
6/9/2020,22935,Suppressed*,46
6/9/2020,22936,Suppressed*,213
6/9/2020,22937,Suppressed*,59
6/9/2020,22938,Suppressed*,54
6/9/2020,22939,7,212
6/9/2020,22940,Suppressed*,43
6/9/2020,22942,15,451
6/9/2020,22943,0,21
6/9/2020,22946,Suppressed*,10
6/9/2020,22947,6,179
6/9/2020,22948,0,6
6/9/2020,22949,0,65
6/9/2020,22952,Suppressed*,75
6/9/2020,22958,Suppressed*,62
6/9/2020,22959,6,89
6/9/2020,22960,35,510
6/9/2020,22963,30,664
6/9/2020,22964,0,7
6/9/2020,22967,Suppressed*,52
6/9/2020,22968,25,459
6/9/2020,22969,Suppressed*,66
6/9/2020,22971,0,67
6/9/2020,22972,Suppressed*,20
6/9/2020,22973,10,382
6/9/2020,22974,8,222
6/9/2020,22976,0,13
6/9/2020,22980,56,1095
