source ,,http://www.vdh.virginia.gov/coronavirus/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alleghany,2,51005,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,1,3,0,0,3,0,1,2,1,0,3,1,0,0,0,2,0,0,0,0,0,1,1,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,1,1,0,1,2,1,0,0,1,12,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,3,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
Botetourt,3,51023,0,0,0,0,1,3,0,1,2,0,6,1,0,3,0,0,3,1,1,1,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,1,4,1,0,0,0,4,0,3,0,0,3,1,0,4,3,0,1,8,2,0,0,0,4,13,35,2,2,8,0,1,5,6,3,2,1,1,3,1,4,1,3,1,0,0,1,0,0,2,3,1,5,2,0,4,1,2,0,3,4,0,1,7,10,2,2,1,0,1,1,2,1,0,3,0,0,1,3,0,0,0,0,0,0,0,0,0,0,
Craig,4,51045,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,2,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
Roanoke County,5,51161,0,1,0,1,0,0,1,1,0,0,1,0,0,3,1,0,4,0,1,4,0,1,2,1,0,2,2,1,6,3,5,0,0,2,0,6,4,2,1,3,0,0,2,1,2,0,0,17,0,1,3,0,1,1,1,2,0,1,1,0,0,4,2,0,1,5,2,1,1,4,3,0,6,3,0,0,4,0,3,4,2,0,0,7,7,1,12,10,0,6,18,5,0,0,1,6,28,20,0,7,14,4,5,4,5,4,5,8,2,13,4,13,1,7,1,0,5,8,2,12,6,7,0,8,7,0,9,11,5,7,10,9,0,4,11,24,0,3,0,2,4,4,7,2,0,8,5,0,4,12,0,0,0,0,0,0,0,0,0,0,
Covington,6,51580,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,
Salem,7,51775,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,1,2,0,0,0,0,2,0,0,0,1,2,1,4,10,0,0,0,1,4,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,1,1,0,2,1,1,0,1,0,1,0,3,1,0,1,1,0,0,0,0,0,0,1,0,8,9,1,1,8,0,0,2,3,0,1,3,0,8,1,5,0,7,2,0,3,2,0,3,1,2,0,3,6,0,0,1,2,0,7,1,1,4,9,4,4,0,0,2,0,1,1,0,0,5,2,1,3,7,0,0,0,0,0,0,0,0,0,0,
Arlington,8,51013,0,18,9,12,9,2,18,15,9,7,15,31,22,34,17,26,32,37,17,24,11,19,33,32,35,55,18,32,38,23,36,42,26,46,29,47,55,37,40,62,33,30,31,48,33,51,36,31,17,44,39,35,26,30,48,50,40,35,32,9,69,24,38,53,51,50,18,9,7,10,9,8,23,22,30,31,9,15,19,8,14,17,8,17,9,10,14,9,13,6,7,7,7,4,5,10,2,13,5,12,4,19,14,0,17,8,9,15,15,18,11,34,17,14,13,22,7,4,13,13,13,7,18,6,16,20,14,17,23,9,19,20,28,24,16,24,25,15,14,14,13,16,42,20,33,17,18,29,17,24,0,0,0,0,0,0,0,0,0,0,
Augusta,9,51015,0,0,0,0,0,0,0,1,1,2,3,1,1,1,3,0,2,2,0,0,0,1,1,0,3,0,2,4,2,3,1,2,0,0,3,2,2,1,1,1,1,0,7,1,0,9,0,0,0,2,4,4,8,2,1,2,1,0,1,3,1,3,7,2,3,0,4,0,3,3,0,7,2,1,7,4,1,2,0,2,2,3,0,6,5,7,2,1,2,2,0,3,4,1,0,4,0,2,0,5,1,2,1,1,6,1,0,4,1,3,5,0,5,1,2,4,1,3,0,3,3,3,2,1,4,1,1,1,3,2,1,1,7,2,0,3,11,1,4,2,5,9,4,6,4,3,2,8,4,8,0,0,0,0,0,0,0,0,0,0,
Bath,10,51017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Highland,11,51091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
